date,nGenomeCopies,nPopInCatchment,wwDataIsValid,nCases,casesDataIsValid,t
2023-02-12,NaN,,false,1175,true,458
2023-02-13,1.09357567504474e6,3609420,true,1179,true,459
2023-02-14,2.20305787781209e6,680100,true,1100,true,460
2023-02-15,1.29068910280013e6,3342700,true,1076,true,461
2023-02-16,1.97318146391243e6,989579,true,1086,true,462
2023-02-17,NaN,,false,1196,true,463
2023-02-18,NaN,,false,1262,true,464
2023-02-19,NaN,,false,1366,true,465
2023-02-20,2.03212257697628e6,3427309,true,1341,true,466
2023-02-21,1.77394560838466e6,1006600,true,1222,true,467
2023-02-22,2.32320387478837e6,3226721,true,1211,true,468
2023-02-23,2.60281422727273e6,1163800,true,1232,true,469
2023-02-24,NaN,,false,1239,true,470
2023-02-25,NaN,,false,1361,true,471
2023-02-26,2.048071e6,65000,true,1469,true,472
2023-02-27,2.40354707674545e6,3401309,true,1640,true,473
2023-02-28,1.91394730747484e6,820620,true,1598,true,474
2023-03-01,3.65262082139623e6,968367,true,1581,true,475
2023-03-02,3.28972680271514e6,1129443,true,1699,true,476
2023-03-03,9.129664e6,4000,true,1752,true,477
2023-03-04,NaN,,false,1595,true,478
2023-03-05,NaN,,false,1608,true,479
2023-03-06,2.86470016402804e6,3675530,true,1683,true,480
2023-03-07,2.20569949470128e6,1042799,true,1493,true,481
2023-03-08,3.56920190303834e6,3195067,true,1605,true,482
2023-03-09,3.88913904469541e6,1020843,true,1784,true,483
2023-03-10,469181.292168675,33200,true,1601,true,484
2023-03-11,NaN,,false,1809,true,485
2023-03-12,NaN,,false,1654,true,486
2023-03-13,1.76273209863673e6,3741000,true,1708,true,487
2023-03-14,2.53363973951144e6,873309,true,1603,true,488
2023-03-15,1.78980098862413e6,3128377,true,1556,true,489
2023-03-16,2.40540508349851e6,1012533,true,1593,true,490
2023-03-17,NaN,,false,1557,true,491
2023-03-18,NaN,,false,1564,true,492
2023-03-19,NaN,,false,1568,true,493
2023-03-20,1.90348866976744e6,3698000,true,1687,true,494
2023-03-21,3.55502352001345e6,915809,true,1499,true,495
2023-03-22,2.08664975650069e6,3189467,true,1558,true,496
2023-03-23,2.95172954592967e6,1063833,true,1541,true,497
2023-03-24,2.188518e6,5800,true,1634,true,498
2023-03-25,1.922123e6,65000,true,1667,true,499
2023-03-26,1.764223e6,65000,true,1772,true,500
2023-03-27,3.32065607847818e6,1904109,true,1882,true,501
2023-03-28,2.23753082994292e6,1023327,true,1608,true,502
2023-03-29,4.68781488348984e6,2126939,true,1608,true,503
2023-03-30,3.15059784812233e6,1049654,true,1660,true,504
2023-03-31,7.495934e6,4000,true,1718,true,505
